tahun;kecamatan ;desa ;tgl kejadian;jenis bencana;jumlah kejadian;korban jiwa;ruksak berat;ruksak sedang;rusak rigan
2019;Cisewu;Nyalindung;25/03/2019;Tanah Longsor;1;;;;
2019;Tarogong Kaler;Jati ;27/03/2019;Banjir;1;100;;;
2019;Banyuresmi;Sukasenang;27/03/2019;Banjir;1;18;;;
2019;Tarogong Kidul;Jati ;27/03/2019;Banjir;1;;;;
2019;Garut kota;Ciwalen;27/03/2019;Banjir;1;;;;
2019;Tarogong Kidul;Jayaraga;27/03/2019;Banjir;1;4;;;1
2019;Kadungora;Neglasari;27/03/2019;Banjir;1;;;;2
2019;Banyuresmi;Sukasenang;27/03/2019;Banjir;1;;;;
2019;Tarogong Kidul;Haurpanggung;27/03/2019;Banjir;1;8;;1;
2019;Kadungora;Tanggulung;27/03/2019;Banjir;1;;;;
2019;Cibatu;Sukalilah;27/03/2019;Tanah Longsor;1;8;2;;
2019;Tarogong Kidul;Jayawaras;27/03/2019;Tanah Longsor;1;;2;;
2019;Garut kota;Sukanegla;27/03/2019;Tanah Longsor;1;;;1;
2019;Cibatu;Mekarsari;28/03/2019;Tanah Longsor;1;;1;;
2019;Tarogong Kidul;Jayawaras;28/03/2019;Bangunan Roboh;1;;;;1
2019;Pasir wangi;pasir wangi;29/03/2019;banjir;1;;;;
2019;Tarogong Kidul;jayawaras;31/03/2019;Rumah Roboh;1;;;;1
2019;Kadungora;Neglasari;04/01/2019;Banjir;1;;;;
2019;Pakenjeng ;Pasirlanggu ;04/03/2019;Kebakaran Rumah;1;;;;
2019;Cibiuk ;Cipareuan;04/03/2019;Rumah Roboh;1;;1;;
2019;Talegong;Sukamulya;04/04/2019;Tanah Longsor;1;;;;
2019;Bayongbong;Mulyasari;04/04/2019;Tanah Longsor;1;4;;;
2019;Tarogong Kidul;Haurpanggung;04/04/2019;Banjir;1;;;;
2019;Tarogong Kidul;Jayawaras;04/04/2019;Banjir;;;;;
2019;Talegong;Sukamulya;04/04/2019;Tanah Longsor;1;;;;
2019;Tarogong kidul;cibunar;04/05/2019;Tanah Longsor;1;;;;
2019;Pamulihan ;Pananjung;04/05/2019;Tanah Longsor ;1;;3;;
2019;Pamulihan ;;00/01/1900;Pergerakan Tanah;1;;;;1
2019;Singajaya ;cigintung ;04/05/2019;Kebakaran Rumah;1;;1;;
2019;Tarogong Kidul;Jayawaras;04/06/2019;Tanah Longsor;1;8;1;;
2019;Tarogong Kidul;Cibunar;04/06/2019;Tanah Longsor;2;;;;
2019;Kadungora;Tanggulun;04/06/2019;Tanah Longsor;1;;;;
2019;Kadungora;Mandalasari;04/06/2019;Tanah Longsor;1;;;;
2019;Pamulihan ;Pakenjeng;04/07/2019;Tanah Longsor;1;;;;
2019;Leles;Margaluyu;04/07/2019;Rumah Roboh;1;;;;1
2019;Leles;Leles;04/07/2019;Banjir;1;;;;
2019;Leles;Sukarame;04/08/2019;Tanah Longsor;1;;;1;
2019;Singajaya ;cigintung ;04/08/2019;Kebakaran Rumah;1;4;;;
2019;Pangatikan;Sukahurip;04/09/2019;Tanah Longsor;1;;;;
2019;Banyuresmi;Sukasenang;04/11/2019;Banjir;1;;;1;
2019;Tarogong Kidul;Tarogong;04/11/2019;Banjir;1;;;;
2019;Tarogong Kidul;Tarogong;04/11/2019;Banjir;;;;;
2019;Cisompet;Sindangsari;04/11/2019;Orang Tenggelam;1;;;;
2019;Tarogong Kidul;Cibunar;04/11/2019;Rumah Roboh;1;;;1;
2019;Tarogong Kidul;Sukajaya;04/11/2019;Rumah Roboh;;;;1;
2019;Cikelet;Pamalayan;04/11/2019;Orang Tenggelam;1;;;;
2019;Garut Kota;Ciwalen;04/12/2019;Banjir;1;;;;
2019;Pameungpeuk;Mancagahar;04/12/2019;Kebakaran Rumah;1;;;;
2019;Karangtengah;Caringin;04/12/2019;Tanah Longsor;1;;1;;
2019;malangbong;cibunar;13/4/2019;Pergerakan Tanah;1;;;;
2019;cisewu;girimukti;15/4/2019;Banjir Bandang;1;;;;
2019;cisewu;girimukti;15/4/2020;Tanah Longsor;1;;;;
2019;Cihurip;Cihurip;16/4/2019;Tanah Longsor;1;;;;
2019;Cibatu;Kertajaya;16/4/2019;Rumah Roboh;1;;;;
2019;Bungbulang;Sinarjaya;21/4/2019;Tanah Longsor;1;;;;
2019;Garut kota;Ciwalen;29/4/2019;Pohon tumbang;1;;;;
